port_code,port_of_entry,state_code
ALC,"ALCAN, AK",AK
ANC,"ANCHORAGE, AK",AK
BAR,"BAKER AAF - BAKER ISLAND, AK",AK
DAC,"DALTONS CACHE, AK",AK
PIZ,"DEW STATION PT LAY DEW, AK",AK
DTH,"DUTCH HARBOR, AK",AK
EGL,"EAGLE, AK",AK
FRB,"FAIRBANKS, AK",AK
HOM,"HOMER, AK",AK
HYD,"HYDER, AK",AK
JUN,"JUNEAU, AK",AK
5KE,"KETCHIKAN, AK",AK
KET,"KETCHIKAN, AK",AK
MOS,"MOSES POINT INTERMEDIATE, AK",AK
NIK,"NIKISKI, AK",AK
NOM,"NOM, AK",AK
PKC,"POKER CREEK, AK",AK
ORI,"PORT LIONS SPB, AK",AK
SKA,"SKAGWAY, AK",AK
SNP,"ST. PAUL ISLAND, AK",AK
TKI,"TOKEEN, AK",AK
WRA,"WRANGELL, AK",AK
HSV,"MADISON COUNTY - HUNTSVILLE, AL",AL
MOB,"MOBILE, AL",AL
LIA,"LITTLE ROCK, AR (BPS)",AR
ROG,"ROGERS ARPT, AR",AR
DOU,"DOUGLAS, AZ",AZ
LUK,"LUKEVILLE, AZ",AZ
MAP,"MARIPOSA AZ",AZ
NAC,"NACO, AZ",AZ
NOG,"NOGALES, AZ",AZ
PHO,"PHOENIX, AZ",AZ
POR,"PORTAL, AZ",AZ
SLU,"SAN LUIS, AZ",AZ
SAS,"SASABE, AZ",AZ
TUC,"TUCSON, AZ",AZ
YUI,"YUMA, AZ",AZ
AND,"ANDRADE, CA",CA
BUR,"BURBANK, CA",CA
CAL,"CALEXICO, CA",CA
CAO,"CAMPO, CA",CA
FRE,"FRESNO, CA",CA
ICP,"IMPERIAL COUNTY, CA",CA
LNB,"LONG BEACH, CA",CA
LOS,"LOS ANGELES, CA",CA
BFL,"MEADOWS FIELD - BAKERSFIELD, CA",CA
OAK,"OAKLAND, CA",CA
ONT,"ONTARIO, CA",CA
OTM,"OTAY MESA, CA",CA
BLT,"PACIFIC, HWY. STATION, CA",CA
PSP,"PALM SPRINGS, CA",CA
SAC,"SACRAMENTO, CA",CA
SLS,"SALINAS, CA (BPS)",CA
SDP,"SAN DIEGO, CA",CA
SFR,"SAN FRANCISCO, CA",CA
SNJ,"SAN JOSE, CA",CA
SLO,"SAN LUIS OBISPO, CA",CA
SLI,"SAN LUIS OBISPO, CA (BPS)",CA
SPC,"SAN PEDRO, CA",CA
SYS,"SAN YSIDRO, CA",CA
SAA,"SANTA ANA, CA",CA
STO,"STOCKTON, CA (BPS)",CA
TEC,"TECATE, CA",CA
TRV,"TRAVIS-AFB, CA",CA
APA,"ARAPAHOE COUNTY, CO",CO
ASE,"ASPEN, CO (AIRPORT)",CO
COS,"COLORADO SPRINGS, CO",CO
DEN,"DENVER, CO",CO
DRO,"LA PLATA - DURANGO, CO",CO
BDL,"BRADLEY INTERNATIONAL, CT",CT
BGC,"BRIDGEPORT, CT",CT
GRT,"GROTON, CT",CT
HAR,"HARTFORD, CT",CT
NWH,"NEW HAVEN, CT",CT
NWL,"NEW LONDON, CT",CT
TST,"NEWINGTON DATA CENTER TEST, CT",CT
WAS,"WASHINGTON DC",DC
DOV,"DOVER AFB, DE",DE
DVD,"DOVER-AFB, DE",DE
WLL,"WILMINGTON, DE",DE
BOC,"BOCAGRANDE, FL",FL
SRQ,"BRADENTON - SARASOTA, FL",FL
CAN,"CAPE CANAVERAL, FL",FL
DAB,"DAYTONA BEACH INTERNATIONAL, FL",FL
FRN,"FERNANDINA, FL",FL
FTL,"FORT LAUDERDALE, FL",FL
FMY,"FORT MYERS, FL",FL
FPF,"FORT PIERCE, FL",FL
HUR,"HURLBURT FIELD, FL",FL
GNV,"J R ALISON MUNI - GAINESVILLE, FL",FL
JAC,"JACKSONVILLE, FL",FL
KEY,"KEY WEST, FL",FL
LEE,"LEESBURG MUNICIPAL AIRPORT, FL",FL
MLB,"MELBOURNE, FL",FL
MIA,"MIAMI, FL",FL
APF,"NAPLES, FL (AIRPORT)",FL
OPF,"OPA LOCKA, FL",FL
ORL,"ORLANDO, FL",FL
PAN,"PANAMA CITY, FL",FL
PEN,"PENSACOLA, FL",FL
PCF,"PORT CANAVERAL, FL",FL
PEV,"PORT EVERGLADES, FL",FL
PSJ,"PORT ST JOE, FL",FL
SFB,"SANFORD, FL",FL
SGJ,"ST AUGUSTINE ARPT, FL",FL
SAU,"ST AUGUSTINE, FL",FL
FPR,"ST LUCIE COUNTY, FL",FL
SPE,"ST PETERSBURG, FL",FL
TAM,"TAMPA, FL",FL
WPB,"WEST PALM BEACH, FL",FL
ATL,"ATLANTA, GA",GA
BRU,"BRUNSWICK, GA",GA
AGS,"BUSH FIELD - AUGUSTA, GA",GA
SAV,"SAVANNAH, GA",GA
AGA,"AGANA, GU",GU
HHW,"HONOLULU, HI",HI
OGG,"KAHULUI - MAUI, HI",HI
KOA,"KEAHOLE-KONA, HI",HI
LIH,"LIHUE, HI",HI
CID,"CEDAR RAPIDS/IOWA CITY, IA",IA
DSM,"DES MOINES, IA",IA
BOI,"AIR TERM. (GOWEN FLD) BOISE, ID",ID
EPI,"EASTPORT, ID",ID
IDA,"FANNING FIELD - IDAHO FALLS, ID",ID
PTL,"PORTHILL, ID",ID
SPI,"CAPITAL - SPRINGFIELD, IL",IL
CHI,"CHICAGO, IL",IL
DPA,"DUPAGE COUNTY, IL",IL
PIA,"GREATER PEORIA, IL",IL
RFD,"GREATER ROCKFORD, IL",IL
UGN,"MEMORIAL - WAUKEGAN, IL",IL
GAR,"GARY, IN",IN
HMM,"HAMMOND, IN",IN
INP,"INDIANAPOLIS, IN",IN
MRL,"MERRILLVILLE, IN",IN
SBN,"SOUTH BEND, IN",IN
ICT,"MID-CONTINENT - WITCHITA, KS",KS
LEX,"BLUE GRASS - LEXINGTON, KY",KY
LOU,"LOUISVILLE, KY",KY
BTN,"BATON ROUGE, LA",LA
LKC,"LAKE CHARLES, LA",LA
LAK,"LAKE CHARLES, LA (BPS)",LA
MLU,"MONROE, LA",LA
MGC,"MORGAN CITY, LA",LA
NOL,"NEW ORLEANS, LA",LA
BOS,"BOSTON, MA",MA
GLO,"GLOUCESTER, MA",MA
BED,"HANSCOM FIELD - BEDFORD, MA",MA
LYN,"LYNDEN, WA",WA
ADW,"ANDREWS AFB, MD",MD
BAL,"BALTIMORE, MD",MD
MKG,"MUSKEGON, MD",MD
PAX,"PATUXENT RIVER, MD",MD
BGM,"BANGOR, ME",ME
BOO,"BOOTHBAY HARBOR, ME",ME
BWM,"BRIDGEWATER, ME",ME
BCK,"BUCKPORT, ME",ME
CLS,"CALAIS, ME",ME
CRB,"CARIBOU, ME",ME
COB,"COBURN GORE, ME",ME
EST,"EASTCOURT, ME",ME
EPT,"EASTPORT MUNICIPAL, ME",ME
EPM,"EASTPORT, ME",ME
FOR,"FOREST CITY, ME",ME
FTF,"FORT FAIRFIELD, ME",ME
FTK,"FORT KENT, ME",ME
HML,"HAMIIN, ME",ME
HTM,"HOULTON, ME",ME
JKM,"JACKMAN, ME",ME
KAL,"KALISPEL, MT",MT
LIM,"LIMESTONE, ME",ME
LUB,"LUBEC, ME",ME
MAD,"MADAWASKA, ME",ME
POM,"PORTLAND, ME",ME
RGM,"RANGELEY, ME (BPS)",ME
SBR,"SOUTH BREWER, ME",ME
SRL,"ST AURELIE, ME",ME
SPA,"ST PAMPILE, ME",ME
VNB,"VAN BUREN, ME",ME
VCB,"VANCEBORO, ME",ME
AGN,"ALGONAC, MI",MI
ALP,"ALPENA, MI",MI
BCY,"BAY CITY, MI",MI
DET,"DETROIT, MI",MI
GRP,"GRAND RAPIDS, MI",MI
GRO,"GROSSE ISLE, MI",MI
ISL,"ISLE ROYALE, MI",MI
MRC,"MARINE CITY, MI",MI
MRY,"MARYSVILLE, MI",MI
PTK,"OAKLAND COUNTY - PONTIAC, MI",MI
PHU,"PORT HURON, MI",MI
RBT,"ROBERTS LANDING, MI",MI
SAG,"SAGINAW, MI",MI
SSM,"SAULT STE. MARIE, MI",MI
SCL,"ST CLAIR, MI",MI
YIP,"WILLOW RUN - YPSILANTI, MI",MI
BAU,"BAUDETTE, MN",MN
CAR,"CARIBOU MUNICIPAL AIRPORT, MN",MN
GTF,"Collapsed into INT, MN",MN
INL,"Collapsed into INT, MN",MN
CRA,"CRANE LAKE, MN",MN
MIC,"CRYSTAL MUNICIPAL AIRPORT, MN",MN
DUL,"DULUTH, MN",MN
ELY,"ELY, MN",MN
GPM,"GRAND PORTAGE, MN",MN
SVC,"GRANT COUNTY - SILVER CITY, MN",MN
INT,"INT''L FALLS, MN",MN
LAN,"LANCASTER, MN",MN
MSP,"MINN./ST PAUL, MN",MN
LIN,"NORTHERN SVC CENTER, MN",MN
NOY,"NOYES, MN",MN
PIN,"PINE CREEK, MN",MN
48Y,"PINECREEK BORDER ARPT, MN",MN
RAN,"RAINER, MN",MN
RST,"ROCHESTER, MN",MN
ROS,"ROSEAU, MN",MN
SPM,"ST PAUL, MN",MN
WSB,"WARROAD INTL, SPB, MN",MN
WAR,"WARROAD, MN",MN
KAN,"KANSAS CITY, MO",MO
SGF,"SPRINGFIELD-BRANSON, MO",MO
STL,"ST LOUIS, MO",MO
WHI,"WHITETAIL, MT",MT
WHM,"WILD HORSE, MT",MT
GPT,"BILOXI REGIONAL, MS",MS
GTR,"GOLDEN TRIANGLE LOWNDES CNTY, MS",MS
GUL,"GULFPORT, MS",MS
PAS,"PASCAGOULA, MS",MS
JAN,"THOMPSON FIELD - JACKSON, MS",MS
BIL,"BILLINGS, MT",MT
BTM,"BUTTE, MT",MT
CHF,"CHIEF MT, MT",MT
CTB,"CUT BANK MUNICIPAL, MT",MT
CUT,"CUT BANK, MT",MT
DLB,"DEL BONITA, MT",MT
EUR,"EUREKA, MT (BPS)",MT
BZN,"GALLATIN FIELD - BOZEMAN, MT",MT
FCA,"GLACIER NATIONAL PARK, MT",MT
GGW,"GLASGOW, MT",MT
GRE,"GREAT FALLS, MT",MT
HVR,"HAVRE, MT",MT
HEL,"HELENA, MT",MT
LWT,"LEWISTON, MT",MT
MGM,"MORGAN, MT",MT
OPH,"OPHEIM, MT",MT
PIE,"PIEGAN, MT",MT
RAY,"RAYMOND, MT",MT
ROO,"ROOSVILLE, MT",MT
SCO,"SCOBEY, MT",MT
SWE,"SWEETGTASS, MT",MT
TRL,"TRIAL CREEK, MT",MT
TUR,"TURNER, MT",MT
WCM,"WILLOW CREEK, MT",MT
CLT,"CHARLOTTE, NC",NC
FAY,"FAYETTEVILLE, NC",NC
MRH,"MOREHEAD CITY, NC",NC
FOP,"MORRIS FIELDS AAF, NC",NC
GSO,"PIEDMONT TRIAD INTL AIRPORT, NC",NC
RDU,"RALEIGH/DURHAM, NC",NC
SSC,"SHAW AFB - SUMTER, NC",NC
WIL,"WILMINGTON, NC",NC
AMB,"AMBROSE, ND",ND
ANT,"ANTLER, ND",ND
CRY,"CARBURY, ND",ND
DNS,"DUNSEITH, ND",ND
FAR,"FARGO, ND",ND
FRT,"FORTUNA, ND",ND
GRF,"GRAND FORKS, ND",ND
HNN,"HANNAH, ND",ND
HNS,"HANSBORO, ND",ND
MAI,"MAIDA, ND",ND
MND,"MINOT, ND",ND
NEC,"NECHE, ND",ND
NOO,"NOONAN, ND",ND
NRG,"NORTHGATE, ND",ND
PEM,"PEMBINA, ND",ND
SAR,"SARLES, ND",ND
SHR,"SHERWOOD, ND",ND
SJO,"ST JOHN, ND",ND
WAL,"WALHALLA, ND",ND
WHO,"WESTHOPE, ND",ND
WND,"WILLISTON, ND",ND
OMA,"OMAHA, NE",NE
LEB,"LEBANON, NH",NH
MHT,"MANCHESTER, NH",NH
PNH,"PITTSBURG, NH",NH
PSM,"PORTSMOUTH, NH",NH
BYO,"BAYONNE, NJ",NJ
CNJ,"CAMDEN, NJ",NJ
HOB,"HOBOKEN, NJ",NJ
JER,"JERSEY CITY, NJ",NJ
WRI,"MC GUIRE AFB - WRIGHTSOWN, NJ",NJ
MMU,"MORRISTOWN, NJ",NJ
NEW,"NEWARK/TETERBORO, NJ",NJ
PER,"PERTH AMBOY, NJ",NJ
ACY,"POMONA FIELD - ATLANTIC CITY, NJ",NJ
ALA,"ALAMAGORDO, NM (BPS)",NM
ABQ,"ALBUQUERQUE, NM",NM
ANP,"ANTELOPE WELLS, NM",NM
CRL,"CARLSBAD, NM",NM
COL,"COLUMBUS, NM",NM
CDD,"CRANE LAKE - ST. LOUIS CNTY, NM",NM
DNM,"DEMING, NM (BPS)",NM
LAS,"LAS CRUCES, NM",NM
LOB,"LORDSBURG, NM (BPS)",NM
RUI,"RUIDOSO, NM",NM
STR,"SANTA TERESA, NM",NM
RNO,"CANNON INTL - RENO/TAHOE, NV",NV
FLX,"FALLON MUNICIPAL AIRPORT, NV",NV
LVG,"LAS VEGAS, NV",NV
REN,"RENO, NV",NV
ALB,"ALBANY, NY",NY
AXB,"ALEXANDRIA BAY, NY",NY
BUF,"BUFFALO, NY",NY
CNH,"CANNON CORNERS, NY",NY
CAP,"CAPE VINCENT, NY",NY
CHM,"CHAMPLAIN, NY",NY
CHT,"CHATEAUGAY, NY",NY
CLA,"CLAYTON, NY",NY
FTC,"FORT COVINGTON, NY",NY
LAG,"LA GUARDIA, NY",NY
LEW,"LEWISTON, NY",NY
MAS,"MASSENA, NY",NY
MAG,"MCGUIRE AFB, NY",NY
MOO,"MOORES, NY",NY
MRR,"MORRISTOWN, NY",NY
NYC,"NEW YORK, NY",NY
NIA,"NIAGARA FALLS, NY",NY
OGD,"OGDENSBURG, NY",NY
OSW,"OSWEGO, NY",NY
ELM,"REGIONAL ARPT - HORSEHEAD, NY",NY
ROC,"ROCHESTER, NY",NY
ROU,"ROUSES POINT, NY",NY
SWF,"STEWART - ORANGE CNTY, NY",NY
SYR,"SYRACUSE, NY",NY
THO,"THOUSAND ISLAND BRIDGE, NY",NY
TRO,"TROUT RIVER, NY",NY
WAT,"WATERTOWN, NY",NY
HPN,"WESTCHESTER - WHITE PLAINS, NY",NY
WRB,"WHIRLPOOL BRIDGE, NY",NY
YOU,"YOUNGSTOWN, NY",NY
AKR,"AKRON, OH",OH
ATB,"ASHTABULA, OH",OH
CIN,"CINCINNATI, OH",OH
CLE,"CLEVELAND, OH",OH
CLM,"COLUMBUS, OH",OH
LOR,"LORAIN, OH",OH
MBO,"MARBLE HEADS, OH",OH
SDY,"SANDUSKY, OH",OH
TOL,"TOLEDO, OH",OH
OKC,"OKLAHOMA CITY, OK",OK
TUL,"TULSA, OK",OK
AST,"ASTORIA, OR",OR
COO,"COOS BAY, OR",OR
HIO,"HILLSBORO, OR",OR
MED,"MEDFORD, OR",OR
NPT,"NEWPORT, OR",OR
POO,"PORTLAND, OR",OR
PUT,"PUT-IN-BAY, OH",OH
RDM,"ROBERTS FIELDS - REDMOND, OR",OR
ERI,"ERIE, PA",PA
MDT,"HARRISBURG, PA",PA
HSB,"HARRISONBURG, PA",PA
PHI,"PHILADELPHIA, PA",PA
PIT,"PITTSBURG, PA",PA
AGU,"AGUADILLA, PR",PR
BQN,"BORINQUEN - AGUADILLO, PR",PR
JCP,"CULEBRA - BENJAMIN RIVERA, PR",PR
ENS,"ENSENADA, PR",PR
FAJ,"FAJARDO, PR",PR
HUM,"HUMACAO, PR",PR
JOB,"JOBOS, PR",PR
MAY,"MAYAGUEZ, PR",PR
PON,"PONCE, PR",PR
PSE,"PONCE-MERCEDITA, PR",PR
SAJ,"SAN JUAN, PR",PR
VQS,"VIEQUES-ARPT, PR",PR
PRO,"PROVIDENCE, RI",RI
PVD,"THEODORE FRANCIS - WARWICK, RI",RI
CHL,"CHARLESTON, SC",SC
CAE,"COLUMBIA, SC (AIRPORT)",SC
GEO,"GEORGETOWN, SC",SC
GSP,"GREENVILLE, SC",SC
GRR,"GREER, SC",SC
MYR,"MYRTLE BEACH, SC",SC
SPF,"BLACK HILLS, SPEARFISH, SD",SD
HON,"HOWES REGIONAL ARPT - HURON, SD",SD
SAI,"SAIPAN, SPN",MP
TYS,"MC GHEE TYSON - ALCOA, TN",TN
MEM,"MEMPHIS, TN",TN
NSV,"NASHVILLE, TN",TN
TRI,"TRI CITY ARPT, TN",TN
ADS,"ADDISON AIRPORT- ADDISON, TX",TX
ADT,"AMISTAD DAM, TX",TX
ANZ,"ANZALDUAS, TX",TX
AUS,"AUSTIN, TX",TX
BEA,"BEAUMONT, TX",TX
BBP,"BIG BEND PARK, TX (BPS)",TX
SCC,"BP SPEC COORD. CTR, TX",TX
BTC,"BP TACTICAL UNIT, TX",TX
BOA,"BRIDGE OF AMERICAS, TX",TX
BRO,"BROWNSVILLE, TX",TX
CRP,"CORPUS CHRISTI, TX",TX
DAL,"DALLAS, TX",TX
DLR,"DEL RIO, TX",TX
DNA,"DONNA, TX",TX
EGP,"EAGLE PASS, TX",TX
ELP,"EL PASO, TX",TX
FAB,"FABENS, TX",TX
FAL,"FALCON HEIGHTS, TX",TX
FTH,"FORT HANCOCK, TX",TX
AFW,"FORT WORTH ALLIANCE, TX",TX
FPT,"FREEPORT, TX",TX
GAL,"GALVESTON, TX",TX
HLG,"HARLINGEN, TX",TX
HID,"HIDALGO, TX",TX
HOU,"HOUSTON, TX",TX
SGR,"HULL FIELD, SUGAR LAND ARPT, TX",TX
LLB,"JUAREZ-LINCOLN BRIDGE, TX",TX
LCB,"LAREDO COLUMBIA BRIDGE, TX",TX
LRN,"LAREDO NORTH, TX",TX
LAR,"LAREDO, TX",TX
LSE,"LOS EBANOS, TX",TX
IND,"LOS INDIOS, TX",TX
LOI,"LOS INDIOS, TX",TX
MRS,"MARFA, TX (BPS)",TX
MCA,"MCALLEN, TX",TX
MAF,"ODESSA REGIONAL, TX",TX
PDN,"PASO DEL NORTE,TX",TX
PBB,"PEACE BRIDGE, NY",NY
PHR,"PHARR, TX",TX
PAR,"PORT ARTHUR, TX",TX
ISB,"PORT ISABEL, TX",TX
POE,"PORT OF EL PASO, TX",TX
PRE,"PRESIDIO, TX",TX
PGR,"PROGRESO, TX",TX
RIO,"RIO GRANDE CITY, TX",TX
ROM,"ROMA, TX",TX
SNA,"SAN ANTONIO, TX",TX
SNN,"SANDERSON, TX",TX
VIB,"VETERAN INTL BRIDGE, TX",TX
YSL,"YSLETA, TX",TX
CHA,"CHARLOTTE AMALIE, VI",VI
CHR,"CHRISTIANSTED, VI",VI
CRU,"CRUZ BAY, ST JOHN, VI",VI
FRK,"FREDERIKSTED, VI",VI
STT,"ST THOMAS, VI",VI
LGU,"CACHE AIRPORT - LOGAN, UT",UT
SLC,"SALT LAKE CITY, UT",UT
CHO,"ALBEMARLE CHARLOTTESVILLE, VA",VA
DAA,"DAVISON AAF - FAIRFAX CNTY, VA",VA
HOP,"HOPEWELL, VA",VA
HEF,"MANASSAS, VA (AIRPORT)",VA
NWN,"NEWPORT, VA",VA
NOR,"NORFOLK, VA",VA
RCM,"RICHMOND, VA",VA
ABS,"ALBURG SPRINGS, VT",VT
ABG,"ALBURG, VT",VT
BEB,"BEEBE PLAIN, VT",VT
BEE,"BEECHER FALLS, VT",VT
BRG,"BURLINGTON, VT",VT
CNA,"CANAAN, VT",VT
DER,"DERBY LINE, VT (I-91)",VT
DLV,"DERBY LINE, VT (RT. 5)",VT
ERC,"EAST RICHFORD, VT",VT
HIG,"HIGHGATE SPRINGS, VT",VT
MOR,"MORSES LINE, VT",VT
NPV,"NEWPORT, VT",VT
NRT,"NORTH TROY, VT",VT
NRN,"NORTON, VT",VT
PIV,"PINNACLE ROAD, VT",VT
RIF,"RICHFORT, VT",VT
STA,"ST ALBANS, VT",VT
SWB,"SWANTON, VT (BP - SECTOR HQ)",VT
WBE,"WEST BERKSHIRE, VT",VT
ABE,"ABERDEEN, WA",WA
ANA,"ANACORTES, WA",WA
BEL,"BELLINGHAM, WA",WA
BLI,"BELLINGHAM, WASHINGTON #INTL",WA
BLA,"BLAINE, WA",WA
BWA,"BOUNDARY, WA",WA
CUR,"CURLEW, WA (BPS)",WA
DVL,"DANVILLE, WA",WA
EVE,"EVERETT, WA",WA
FER,"FERRY, WA",WA
FRI,"FRIDAY HARBOR, WA",WA
FWA,"FRONTIER, WA",WA
KLM,"KALAMA, WA",WA
LAU,"LAURIER, WA",WA
LON,"LONGVIEW, WA",WA
MET,"METALINE FALLS, WA",WA
MWH,"MOSES LAKE GRANT COUNTY ARPT, WA",WA
NEA,"NEAH BAY, WA",WA
NIG,"NIGHTHAWK, WA",WA
OLY,"OLYMPIA, WA",WA
ORO,"OROVILLE, WA",WA
PWB,"PASCO, WA",WA
PIR,"POINT ROBERTS, WA",WA
PNG,"PORT ANGELES, WA",WA
PTO,"PORT TOWNSEND, WA",WA
SEA,"SEATTLE, WA",WA
SPO,"SPOKANE, WA",WA
SUM,"SUMAS, WA",WA
TAC,"TACOMA, WA",WA
PSC,"TRI-CITIES - PASCO, WA",WA
VAN,"VANCOUVER, WA",WA
AGM,"ALGOMA, WI",WI
BAY,"BAYFIELD, WI",WI
GRB,"GREEN BAY, WI",WI
MNW,"MANITOWOC, WI",WI
MIL,"MILWAUKEE, WI",WI
MSN,"TRUAX FIELD - DANE COUNTY, WI",WI
CHS,"CHARLESTON, WV",WV
CLK,"CLARKSBURG, WV",WV
BLF,"MERCER COUNTY, WV",WV
CSP,"CASPER, WY",WY
XXX,"NOT REPORTED/UNKNOWN",OT
888,"UNIDENTIFED AIR / SEAPORT",OT
UNK,"UNKNOWN POE",OT
CLG,"CALGARY, CANADA",OT
EDA,"EDMONTON, CANADA",OT
YHC,"HAKAI PASS, CANADA",OT
HAL,"Halifax, NS, Canada",OT
MON,"MONTREAL, CANADA",OT
OTT,"OTTAWA, CANADA",OT
YXE,"SASKATOON, CANADA",OT
TOR,"TORONTO, CANADA",OT
VCV,"VANCOUVER, CANADA",OT
VIC,"VICTORIA, CANADA",OT
WIN,"WINNIPEG, CANADA",OT
AMS,"AMSTERDAM-SCHIPHOL, NETHERLANDS",OT
ARB,"ARUBA, NETH ANTILLES",OT
BAN,"BANKOK, THAILAND",OT
BEI,"BEICA (AIRPORT), ETHIOPIA",OT
PEK,"BEIJING CAPITAL INTL, PRC",OT
BDA,"KINDLEY FIELD, BERMUDA",OT
BOG,"BOGOTA, EL DORADO (AIRPORT), COLOMBIA",OT
EZE,"BUENOS AIRES, MINISTRO PIST, ARGENTINA",OT
CUN,"CANCUN, MEXICO",OT
CRQ,"CARAVELAS, BA (AIRPORT), BRAZIL",OT
MVD,"CARRASCO, URUGUAY",OT
DUB,"DUBLIN, IRELAND",OT
FOU,"FOUGAMOU (AIRPORT), GABON",OT
FBA,"FREEPORT, BAHAMAS",OT
MTY,"GEN M. ESCOBEDO, Monterrey, MX",OT
HMO,"GEN PESQUEIRA GARCIA, MX",OT
GCM,"GRAND CAYMAN, CAYMAN ISLAND",OT
GDL,"GUADALAJARA, MIGUEL HIDAL, MX",OT
HAM,"HAMILTON, BERMUDA",OT
ICN,"INCHON, SEOUL KOREA",OT
IWA,"INVALID - IWAKUNI, JAPAN",OT
CND,"KOGALNICEANU, ROMANIA",OT
LAH,"LABUHA ARPT, INDONESIA",OT
DUR,"LOUIS BOTHA, SOUTH AFRICA",OT
MAL,"MANGOLE ARPT, INDONESIA",OT
MDE,"MEDELLIN, COLOMBIA",OT
MEX,"JUAREZ INTL, MEXICO CITY, MX",OT
LHR,"MIDDLESEX, ENGLAND",OT
NBO,"NAIROBI, KENYA",OT
NAS,"NASSAU, BAHAMAS",OT
NCA,"NORTH CAICOS, TURK & CAIMAN",OT
PTY,"OMAR TORRIJOS, PANAMA",OT
SPV,"PAPUA, NEW GUINEA",OT
UIO,"QUITO (MARISCAL SUCR), ECUADOR",OT
RIT,"ROME, ITALY",OT
SNO,"SAKON NAKHON (AIRPORT), THAILAND",OT
SLP,"SAN LUIS POTOSI (AIRPORT), MEXICO",OT
SAN,"SAN SALVADOR, EL SALVADOR",OT
SRO,"SANTANA RAMOS (AIRPORT), COLOMBIA",OT
GRU,"GUARULHOS INTL, SAO PAULO, BRAZIL",OT
SHA,"SHANNON, IRELAND",OT
HIL,"SHILLAVO, ETHIOPIA",OT
TOK,"TOROKINA (AIRPORT), PAPUA, NEW GUINEA",OT
VER,"VERACRUZ, MEXICO",OT
LGW,"WEST SUSSEX, ENGLAND",OT
ZZZ,"MEXICO Land (Banco de Mexico)",OT
CHN,"No PORT Code (CHN)",OT
CNC,"CANNON CORNERS, NY",NY
MAA,"Abu Dhabi",OT
AG0,"MAGNOLIA, AR",AR
BHM,"BAR HARBOR, ME",ME
BHX,"BIRMINGHAM, AL",AL
CAK,"AKRON, OH",OH
FOK,"SUFFOLK COUNTY, NY",NY
LND,"LANDER, WY",WY
MAR,"MARFA, TX",TX
MLI,"MOLINE, IL",IL
RIV,"RIVERSIDE, CA",CA
RME,"ROME, NY",NY
VNY,"VAN NUYS, CA",CA
YUM,"YUMA, AZ",AZ
FRG,"Collapsed (FOK) 06/15",OT
HRL,"Collapsed (HLG) 06/15",OT
ISP,"Collapsed (FOK) 06/15",OT
JSJ,"Collapsed (SAJ) 06/15",OT
BUS,"Collapsed (BUF) 06/15",OT
IAG,"Collapsed (NIA) 06/15",OT
PHN,"Collapsed (PHU) 06/15",OT
STN,"Collapsed (STR) 06/15",OT
VMB,"Collapsed (VNB) 06/15",OT
T01,"Collapsed (SEA) 06/15",OT
PHF,"No PORT Code (PHF)",OT
DRV,"No PORT Code (DRV)",OT
FTB,"No PORT Code (FTB)",OT
GAC,"No PORT Code (GAC)",OT
GMT,"No PORT Code (GMT)",OT
JFA,"No PORT Code (JFA)",OT
JMZ,"No PORT Code (JMZ)",OT
NC8,"No PORT Code (NC8)",OT
NYL,"No PORT Code (NYL)",OT
OAI,"No PORT Code (OAI)",OT
PCW,"No PORT Code (PCW)",OT
WA5,"No PORT Code (WAS)",OT
WTR,"No PORT Code (WTR)",OT
X96,"No PORT Code (X96)",OT
XNA,"No PORT Code (XNA)",OT
YGF,"No PORT Code (YGF)",OT
5T6,"No PORT Code (5T6)",OT
060,"No PORT Code (60)",OT
SP0,"No PORT Code (SP0)",OT
W55,"No PORT Code (W55)",OT
X44,"No PORT Code (X44)",OT
AUH,"No PORT Code (AUH)",OT
RYY,"No PORT Code (RYY)",OT
SUS,"No PORT Code (SUS)",OT
74S,"No PORT Code (74S)",OT
ATW,"No PORT Code (ATW)",OT
CPX,"No PORT Code (CPX)",OT
MTH,"No PORT Code (MTH)",OT
PFN,"No PORT Code (PFN)",OT
SCH,"No PORT Code (SCH)",OT
ASI,"No PORT Code (ASI)",OT
BKF,"No PORT Code (BKF)",OT
DAY,"No PORT Code (DAY)",OT
Y62,"No PORT Code (Y62)",OT
AG,"No PORT Code (AG)",OT
BCM,"No PORT Code (BCM)",OT
DEC,"No PORT Code (DEC)",OT
PLB,"No PORT Code (PLB)",OT
CXO,"No PORT Code (CXO)",OT
JBQ,"No PORT Code (JBQ)",OT
JIG,"No PORT Code (JIG)",OT
OGS,"No PORT Code (OGS)",OT
TIW,"No PORT Code (TIW)",OT
OTS,"No PORT Code (OTS)",OT
AMT,"No PORT Code (AMT)",OT
EGE,"No PORT Code (EGE)",OT
GPI,"No PORT Code (GPI)",OT
NGL,"No PORT Code (NGL)",OT
OLM,"No PORT Code (OLM)",OT
.GA,"No PORT Code (.GA)",OT
CLX,"No PORT Code (CLX)",OT
CP,"No PORT Code (CP)",OT
FSC,"No PORT Code (FSC)",OT
NK,"No PORT Code (NK)",OT
ADU,"No PORT Code (ADU)",OT
AKT,"No PORT Code (AKT)",OT
LIT,"No PORT Code (LIT)",OT
A2A,"No PORT Code (A2A)",OT
OSN,"No PORT Code (OSN)",OT
